,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
2660,Kepler-1595 b,1.2331,2.0404558,1.2863657,1033.7979
2670,Kepler-1600 c,1.93933,4.4178092,1.5093071,901.80182
2674,Kepler-1604 b,1.41246,2.5712285,1.3492184,2251.7788
2675,Kepler-1605 b,1.07616,1.2808469,1.0909634,588.87253
2678,Kepler-1608 b,1.72634,3.655022,1.4550631,629.43592
2680,Kepler-161 b,2.11869,12.077464,2.3875593,957.24662
2681,Kepler-161 c,2.05143,11.759636,2.394245,853.03385
2686,Kepler-1614 b,1.49093,2.8254909,1.3766335,1134.2539
2706,Kepler-1630 b,2.18595,5.4348589,1.5767906,187.28932
2724,Kepler-1643 b,2.32047,6.0069493,1.6089369,951.53213
2731,Kepler-165 b,2.32047,6.0069493,1.6089369,817.15506
2732,Kepler-165 c,2.23079,5.5937729,1.5835182,661.11099
2736,Kepler-1653 b,2.17474,5.3395104,1.5669208,290.83372
2754,Kepler-1669 c,1.9057,4.2588952,1.4949312,1200.1991
2755,Kepler-167 b,1.71513,3.5914564,1.4470608,960.44403
2756,Kepler-167 c,1.67029,3.4325424,1.4335473,806.66399
2757,Kepler-167 d,1.2331,2.0627037,1.2933596,563.0373
2760,Kepler-1671 b,1.32278,2.3169661,1.3234759,1114.1149
2771,Kepler-1680 b,1.35641,2.4186711,1.3353433,759.99842
2778,Kepler-1687 b,1.65908,3.3689768,1.4250016,760.79019
2779,Kepler-1688 b,1.26673,2.1294476,1.2965565,830.58257
2781,Kepler-169 b,1.13221,1.5065047,1.153511,1081.2864
2782,Kepler-169 c,1.21068,1.9260377,1.261298,868.5101
2783,Kepler-169 d,1.25552,2.0976648,1.2925764,789.65991
2784,Kepler-169 e,2.19716,5.4666417,1.577355,667.38443
2788,Kepler-1692 b,1.10979,1.4206912,1.1314346,939.40845
2791,Kepler-1694 b,1.17705,1.7575889,1.2219718,1013.5555
2794,Kepler-1697 b,1.25552,2.1230911,1.3003866,457.70838
2795,Kepler-1698 b,1.07616,1.2522423,1.0787126,1498.7276
2801,Kepler-1701 b,2.21958,5.5619901,1.5829956,313.91836
2802,Kepler-1702 b,1.60303,3.2100628,1.4150961,605.6415
2817,Kepler-1716 b,2.42136,6.4519085,1.6323543,458.95802
2842,Kepler-1735 b,1.19947,1.8370459,1.2375573,580.99838
2847,Kepler-174 b,1.96175,4.5131576,1.5167654,655.3461
2848,Kepler-174 c,1.49093,2.8254909,1.3766335,447.98537
2849,Kepler-174 d,2.18595,5.4348589,1.5767906,251.86997
2859,Kepler-1749 b,1.61424,3.2418456,1.4171379,538.56952
2865,Kepler-1753 b,2.23079,5.5937729,1.5835182,607.03512
2866,Kepler-1754 b,2.44378,6.5154741,1.6328337,754.93315
2868,Kepler-1756 b,1.46851,2.7682819,1.3729879,1236.8738
2871,Kepler-1759 b,0.90801,0.67697365,0.8634567,1004.5975
2872,Kepler-176 b,1.43488,2.6347941,1.3550819,946.79667
2875,Kepler-176 e,1.44609,2.6983597,1.3660049,456.5859
2876,Kepler-1760 b,2.28684,5.8480353,1.5991423,542.65257
2903,Kepler-1782 b,2.23079,5.5937729,1.5835182,865.98272
2904,Kepler-1783 b,1.32278,2.2978965,1.3180182,799.78887
2909,Kepler-1788 b,2.37652,6.2612117,1.6231492,1092.883
2917,Kepler-1794 b,1.7936,3.8775016,1.4703245,706.39748
2918,Kepler-1795 b,1.65908,3.4007596,1.4317075,587.87753
2921,Kepler-1798 b,2.30926,5.9433837,1.6042811,504.20493
2930,Kepler-1802 b,1.67029,3.4325424,1.4335473,656.58616
2931,Kepler-1802 c,2.32047,6.0069493,1.6089369,404.06386
2932,Kepler-1804 b,1.59182,3.1751017,1.4123159,671.90867
2937,Kepler-1809 b,1.51335,2.8985914,1.3839609,1051.904
2943,Kepler-1813 b,1.41246,2.5807634,1.3517177,1197.8985
2944,Kepler-1814 b,2.36531,6.1976461,1.6187111,1116.3073
2946,Kepler-1816 b,1.97296,4.5449404,1.5177665,350.90803
2957,Kepler-1825 b,1.42367,2.6093679,1.3538264,1548.9946
2961,Kepler-1829 b,2.47741,6.7061709,1.6452745,969.98455
2966,Kepler-1832 b,1.22189,2.0245644,1.287211,1232.026
2968,Kepler-1834 b,1.4573,2.7269643,1.3679343,926.78689
2978,Kepler-1841 b,1.49093,2.8223127,1.375859,611.78377
