,P_NAME,P_RADIUS,P_DENSITY,P_ESCAPE,P_TEMP_SURF
2258,Kepler-1295 b,1.54698,0.81642929,1.3977966,1134.9108
2259,Kepler-1296 b,0.90801,0.9255007,0.87353238,1271.501
2260,Kepler-1297 b,0.97527,0.93878928,0.94495021,2035.0613
2261,Kepler-1298 b,1.31157,1.00581,1.3153746,1629.5354
2263,Kepler-130 b,1.02011,0.98203052,1.010903,1145.6257
2265,Kepler-130 d,1.63666,0.76121274,1.427945,499.57498
2266,Kepler-1300 b,1.36762,0.95796624,1.3385683,1019.9332
2267,Kepler-1301 b,1.40125,0.92413467,1.3470486,825.8324
2268,Kepler-1302 b,1.43488,0.89186668,1.3550819,779.89683
2269,Kepler-1303 b,1.42367,0.90208623,1.3521764,1048.6988
2270,Kepler-1304 b,2.28684,0.48899299,1.5991423,1198.86
2271,Kepler-1305 b,1.88328,0.62808931,1.4925387,906.78629
2272,Kepler-1306 b,1.9057,0.62455036,1.5060461,791.167
2273,Kepler-1307 b,2.4662,0.44496574,1.6450973,691.06516
2275,Kepler-1309 b,2.36531,0.46834141,1.6187111,496.24412
2276,Kepler-131 b,2.41015,1.1577909,2.593338,828.15265
2277,Kepler-131 c,0.84075,13.904804,3.135085,710.06757
2278,Kepler-1310 b,1.43488,0.90262502,1.3632304,2117.5802
2279,Kepler-1311 b,1.24431,1.0739582,1.2895028,1200.5288
2280,Kepler-1311 c,1.22189,1.0871273,1.2740085,1968.0984
2282,Kepler-1312 b,2.09627,0.54858966,1.5526409,1106.7819
2283,Kepler-1312 c,1.03132,0.9764314,1.0190942,1879.9555
2284,Kepler-1313 b,1.75997,0.68795236,1.4597701,1112.607
2286,Kepler-1315 b,1.37883,0.9457026,1.3408741,1569.9178
2287,Kepler-1315 c,1.84965,0.64288524,1.4830517,792.28372
2289,Kepler-1317 b,1.55819,0.80733597,1.400063,2003.8524
2291,Kepler-1319 b,1.3452,0.96880302,1.3240507,717.84223
2292,Kepler-132 b,1.21068,1.0853672,1.261298,1255.1144
2293,Kepler-132 c,1.27794,1.0462067,1.3071313,1245.8515
2294,Kepler-132 d,1.54698,0.81642929,1.3977966,880.95001
2295,Kepler-132 e,1.17705,1.077786,1.2219718,490.16254
2296,Kepler-1320 b,1.70392,0.71312807,1.4389078,1481.2451
2298,Kepler-1321 c,2.39894,0.4604304,1.6278013,1072.0501
2300,Kepler-1322 b,1.61424,0.76314878,1.410174,2006.7588
2301,Kepler-1322 c,2.15232,0.52915112,1.5656573,1063.1558
2302,Kepler-1323 b,1.52456,0.82517568,1.3848978,2467.1982
2303,Kepler-1324 b,1.51335,0.83356197,1.3816827,904.74827
2306,Kepler-1327 b,1.80481,0.66497114,1.4717461,852.95943
2307,Kepler-1328 b,0.97527,0.97305166,0.96203931,1426.4051
2308,Kepler-1329 b,2.17474,0.51913392,1.5669208,675.39901
2309,Kepler-133 b,1.75997,0.68795236,1.4597701,1264.5374
2311,Kepler-1330 b,1.64787,0.75288592,1.4298403,1233.1612
2312,Kepler-1331 b,1.05374,0.98876512,1.047804,1430.7921
2313,Kepler-1332 b,1.36762,0.95796624,1.3385683,846.80276
2315,Kepler-1334 b,2.28684,0.48899299,1.5991423,834.05517
2316,Kepler-1335 b,1.44609,0.89230613,1.3660049,842.9138
2317,Kepler-1336 b,1.98417,0.5858926,1.5187556,917.99513
2318,Kepler-1336 c,1.71513,0.70553579,1.4406436,1459.5065
2319,Kepler-1337 b,2.41015,0.45630581,1.6280662,494.46861
2320,Kepler-1338 b,0.91922,0.92888001,0.88592973,2387.4928
2321,Kepler-1339 b,0.70623,0.81207507,0.63642063,2095.8625
2322,Kepler-134 b,1.99538,0.5880749,1.5301779,1216.5924
2323,Kepler-134 c,1.25552,1.0743539,1.3013596,982.48699
2324,Kepler-1340 b,1.54698,0.81642929,1.3977966,2445.5413
2326,Kepler-1342 b,1.65908,0.7446873,1.4317075,1399.4215
2327,Kepler-1343 b,1.92812,0.61188395,1.5082335,1519.1391
2328,Kepler-1344 b,1.83844,0.64960221,1.4817441,1313.0962
2329,Kepler-1345 b,2.36531,0.46593966,1.6145552,834.8017
2330,Kepler-1346 b,1.58061,0.79036822,1.4052043,1365.3512
2331,Kepler-1347 b,1.03132,0.98512366,1.0236201,713.5987
2332,Kepler-1348 b,1.93933,0.60569196,1.5093071,755.56365
2333,Kepler-1349 b,0.69502,0.80467253,0.62345755,1898.2068
2334,Kepler-135 b,1.80481,0.67037741,1.4777167,1438.5777
2335,Kepler-135 c,1.15463,1.0757253,1.1975496,1160.2514
2337,Kepler-1350 c,1.72634,0.71041315,1.4550631,922.6654
2338,Kepler-1351 b,0.65018,0.75163102,0.56368432,1308.1526
2339,Kepler-1352 b,0.88559,0.919793,0.84933252,1932.6806
2340,Kepler-1353 b,1.80481,0.66497114,1.4717461,516.26776
2342,Kepler-1355 b,1.4573,0.88214185,1.3687312,1590.7309
2343,Kepler-1356 b,1.52456,0.83414498,1.3924041,1865.0963
2344,Kepler-1357 b,1.27794,1.0462067,1.3071313,1306.4079
2345,Kepler-1358 b,1.121,1.0355904,1.140774,885.66361
2347,Kepler-136 b,2.05143,2.2825155,3.0992997,1156.2927
2348,Kepler-136 c,1.99538,0.58007388,1.5197329,1032.2738
2350,Kepler-1361 b,0.86317,0.87967681,0.80957653,1077.6608
2352,Kepler-1363 b,1.25552,1.0599007,1.2925764,1053.2159
2353,Kepler-1364 b,2.15232,0.52915112,1.5656573,1266.7421
2354,Kepler-1365 b,0.91922,0.92888001,0.88592973,1341.8071
2355,Kepler-1365 c,0.79591,0.86361631,0.7396468,1574.0643
2356,Kepler-1366 b,1.43488,0.89186668,1.3550819,981.49795
2357,Kepler-1367 b,0.91922,0.92888001,0.88592973,1112.4096
2358,Kepler-1368 b,1.64787,0.75288592,1.4298403,2395.3832
2360,Kepler-137 b,1.46851,0.87212996,1.3714106,876.44639
2361,Kepler-137 c,1.88328,0.62808931,1.4925387,674.52654
2362,Kepler-1370 b,1.83844,0.64960221,1.4817441,968.61262
2363,Kepler-1370 c,1.26673,1.0601558,1.3042742,1352.3
2364,Kepler-1371 b,0.72865,0.81333684,0.65713438,1295.0139
