,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
1868,Kepler-1008 b,1.27794,2.1834784,1.3071313,696.83581,5066.0,0.78,0.81,0.31117163
1869,Kepler-1009 b,2.17474,5.3395104,1.5669208,577.78224,4027.0,0.57,0.59,0.10303861
1872,Kepler-1010 b,2.32047,6.0069493,1.6089369,516.6448,5253.0,0.82,0.86,0.38725764
1874,Kepler-1012 b,1.28915,2.2120829,1.3099327,1063.8803,5556.0,0.91,0.95,0.63973484
1875,Kepler-1013 b,2.15232,5.2759448,1.5656573,572.61199,4954.0,0.76,0.81,0.29444216
1876,Kepler-1014 b,2.38773,6.2929945,1.6234393,681.28376,5388.0,0.84,0.88,0.46025657
1878,Kepler-1016 b,2.17474,5.403076,1.5762201,1763.6059,5821.0,1.0,0.99,1.3304544
1880,Kepler-1017 b,1.99538,4.608506,1.5197329,989.81074,5473.0,0.87,0.93,0.6902398
1882,Kepler-1019 b,1.4573,2.7301425,1.3687312,1216.9552,4433.0,0.67,0.7,0.15631476
1885,Kepler-102 d,1.17705,3.813936,1.8000694,700.19191,4903.0,0.74,0.8,0.26061535
1886,Kepler-102 e,2.21958,8.8991841,2.0023486,603.0699,4903.0,0.74,0.8,0.26061535
1888,Kepler-1020 b,2.27563,5.8162525,1.5987141,359.47345,5227.0,0.8,0.87,0.36643757
1889,Kepler-1021 b,2.33168,6.0387321,1.6093052,758.07199,5431.0,0.86,0.89,0.51522864
1890,Kepler-1022 b,2.36531,6.1658633,1.6145552,618.83202,4445.0,0.68,0.71,0.13867558
1893,Kepler-1025 b,1.98417,4.5767232,1.5187556,586.93173,6089.0,1.13,1.09,1.936422
1894,Kepler-1026 b,2.20837,5.5302073,1.5824674,453.64631,4948.0,0.75,0.79,0.24154608
1895,Kepler-1027 b,0.88559,0.63883429,0.84933252,1685.8142,5436.0,0.82,0.91,1.0256519
1896,Kepler-1028 b,1.33399,2.3296793,1.321514,1328.0643,5522.0,0.87,0.9,0.56885293
1897,Kepler-1029 b,1.25552,2.1262693,1.3013596,928.79911,5030.0,0.77,0.82,0.23988329
1900,Kepler-1030 b,2.47741,6.7061709,1.6452745,572.12729,4983.0,0.76,0.8,0.27989813
1901,Kepler-1031 b,0.87438,0.59116009,0.82224728,2149.03,6011.0,1.12,1.09,1.4791084
1902,Kepler-1032 b,1.87207,4.1635468,1.4913195,1038.645,4647.0,0.71,0.77,0.22130947
1904,Kepler-1034 b,2.26442,5.7209041,1.5894755,719.37785,5198.0,0.8,0.83,0.36391504
1905,Kepler-1035 b,1.16584,1.7067364,1.2099398,1651.6844,5763.0,0.97,0.98,1.61808
1907,Kepler-1037 b,1.27794,2.1834784,1.3071313,1579.931,5105.0,0.78,0.82,0.35645113
1909,Kepler-1038 c,1.41246,2.5934765,1.355043,888.00962,5159.0,0.82,0.87,0.43451022
1910,Kepler-1039 b,1.4573,2.7301425,1.3687312,1459.862,4870.0,0.74,0.79,0.22438819
1914,Kepler-1040 b,2.08506,4.9898996,1.5469869,346.37928,5694.0,0.96,0.98,0.90364947
1916,Kepler-1042 b,2.18595,5.4348589,1.5767906,740.81509,4815.0,0.72,0.75,0.25118864
1920,Kepler-1046 b,1.71513,3.5596736,1.4406436,873.84678,5913.0,1.04,1.04,1.1587774
1921,Kepler-1047 b,2.08506,5.0216824,1.5519058,677.44014,5754.0,1.13,1.08,2.6546056
1922,Kepler-1047 c,0.98648,0.93759261,0.97490645,1762.8926,5754.0,1.13,1.08,2.6546056
1923,Kepler-1048 b,1.61424,3.2100628,1.410174,936.04066,4651.0,0.7,0.75,0.38994199
1924,Kepler-1049 b,0.95285,0.80728313,0.92045099,799.02066,3864.0,0.49,0.51,0.072443596
