P_NAME,P_RADIUS in MU,P_DENSITY in MU,P_ESCAPE in MU
K2-250 b,4.610905660377358,0.6287838028169015,3.628519333333333
K2-251 b,4.441698113207547,0.6622415070422536,3.5871517777777777
K2-252 b,3.278396226415094,0.9898738732394367,3.2370088888888886
K2-254 b,3.0668867924528302,1.0840424788732395,3.1689357777777776
K2-254 c,4.124433962264151,0.7328401267605634,3.503979111111111
K2-257 b,1.5651698113207548,1.2311797464788732,1.7235136444444443
K2-259 b,4.378245283018868,0.6771232676056338,3.5754153333333334
K2-263 b,4.5474528301886785,1.4890450704225355,5.5069946666666665
K2-264 b,4.209037735849056,0.7096928169014085,3.5189293333333334
K2-265 b,3.2360943396226416,1.8259464788732396,4.339680222222222
K2-266 c,1.332509433962264,1.1564762394366197,1.4221034222222222
K2-268 b,2.8342264150943395,1.1873049154929578,3.0648428888888892
K2-268 d,2.8130754716981135,1.200781,3.0591855555555556
K2-268 e,2.5169622641509433,1.3822291830985918,2.936697777777778
K2-268 f,4.209037735849056,0.7096928169014085,3.5189293333333334
K2-269 b,2.961132075471698,1.125638985915493,3.1178115555555554
K2-270 b,2.6015660377358487,1.3319754929577465,2.979720222222222
K2-274 b,3.934075471698113,0.7753142816901409,3.437748666666667
K2-275 b,4.420547169811321,0.664831323943662,3.5770442222222223
K2-275 c,4.166735849056604,0.7232151830985917,3.5165942222222224
K2-277 b,3.912924528301887,0.7779173943661973,3.425001333333333
K2-279 b,2.2843018867924525,1.5286861971830987,2.8028844444444445
K2-28 b,4.378245283018868,0.6771232676056338,3.5754153333333334
K2-282 b,4.71666037735849,0.6132197746478874,3.665516888888889
K2-286 b,3.9552264150943395,0.7726614929577464,3.4503131111111114
K2-288 B b,3.5956603773584903,0.8667123802816902,3.322069333333333
K2-291 b,3.003433962264151,2.266249295774648,4.4870866666666664
K2-293 b,4.632056603773584,0.6262604225352113,3.637842444444444
K2-294 b,3.1303396226415097,1.0488553521126762,3.181572222222222
K2-3 b,3.743716981132075,1.1684614647887324,4.016083555555555
K2-3 c,2.9399811320754714,0.7963200140845071,2.6036397777777776
K2-315 b,1.7978301886792452,1.3142981830985916,2.045446644444444
K2-316 b,2.5169622641509433,1.3822291830985918,2.936697777777778
K2-316 c,3.4476037735849054,0.9245378591549297,3.289820666666667
K2-318 b,3.1303396226415097,1.0488553521126762,3.181572222222222
K2-32 e,2.2843018867924525,1.667428309859155,2.927316
K2-321 b,3.6802641509433958,0.8444953380281691,3.3563724444444443
K2-322 b,3.616811320754717,0.8706612253521128,3.3492146666666667
K2-323 b,3.9552264150943395,0.7726614929577464,3.4503131111111114
K2-324 b,4.589754716981132,0.6344069577464789,3.6279891111111113
K2-325 b,4.145584905660376,0.725900676056338,3.5052333333333334
K2-326 b,4.293641509433962,0.6951522676056339,3.552698
K2-331 b,3.3841509433962265,0.938733661971831,3.2539693333333335
K2-332 b,4.145584905660376,0.725900676056338,3.5052333333333334
K2-335 b,4.166735849056604,0.7232151830985917,3.5165942222222224
K2-336 b,2.305452830188679,1.5311652112676055,2.8311300000000004
K2-338 b,1.94588679245283,1.3874981126760564,2.2747113333333333
K2-339 b,3.616811320754717,0.8706612253521128,3.3492146666666667
K2-342 b,3.828320754716981,0.803845352112676,3.4063328888888886
K2-343 b,3.1091886792452827,1.060402704225352,3.1774228888888887
K2-343 c,3.807169811320754,0.8118685492957747,3.404376888888889
K2-344 b,3.003433962264151,1.1020497042253523,3.1290406666666666
K2-345 b,3.9763773584905655,0.7651796338028168,3.4519286666666664
K2-346 b,4.272490566037735,0.6939614788732394,3.5321677777777776
K2-347 b,4.5474528301886785,0.6426842394366197,3.6179248888888886
K2-349 b,2.6015660377358487,1.3319754929577465,2.979720222222222
K2-35 b,2.495811320754717,1.4002626760563381,2.9309542222222222
K2-35 c,3.6379622641509433,0.8618083802816902,3.35163
K2-350 b,2.897679245283019,1.161670929577465,3.0994484444444446
K2-352 b,2.5804150943396227,1.3492482253521128,2.974596222222222
K2-352 c,3.616811320754717,0.8706612253521128,3.3492146666666667
K2-352 d,4.209037735849056,0.7096928169014085,3.5189293333333334
K2-354 b,2.9399811320754714,1.1370929154929579,3.111251111111111
K2-355 b,4.25133962264151,0.7004575633802816,3.531093777777778
K2-356 b,4.314792452830189,0.6887225211267606,3.5536495555555554
K2-36 b,2.707320754716981,1.859223661971831,3.6635157777777776
K2-366 b,4.441698113207547,0.6656728028169014,3.5964331111111107
K2-367 b,4.5474528301886785,0.6458816619718311,3.6269135555555554
K2-368 b,2.5169622641509433,1.38600061971831,2.9407015555555556
