,P.Name,PSI_P_RADIUS,PSI_P_DENSITY,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
2414,Kepler-1408 b,0.96495,0.955363,0.942247,0.000517,0.9601445343540731,0.022071286754514335,0.145573436256442
2415,Kepler-1409 b,0.988078,0.993188,0.987619,0.000698,0.9906297051189208,0.026255629148813023,0.16127493965709733
2416,Kepler-141 b,0.893091,0.859455,0.822703,0.006635,0.8761115941505396,0.0738825717270318,0.2544196881055226
2417,Kepler-141 c,0.898638,0.9511,0.893459,0.021328,0.9244969452626656,0.13804236144024776,0.3572390536718429
2418,Kepler-1410 b,0.828455,0.792796,0.864411,0.953349,0.810429398640005,0.9077914751962589,0.8577300853612557
2420,Kepler-1412 b,0.945779,0.928314,0.909749,0.001082,0.9370058092701453,0.03137432737127603,0.17145823692324896
2421,Kepler-1413 b,0.822801,0.785078,0.860435,0.048254,0.8037182114883301,0.20376317255578838,0.4046828049395307
2422,Kepler-1414 b,0.939095,0.954845,0.910582,0.008443,0.946937255194345,0.0876814907834031,0.28814730644894804
2423,Kepler-1415 b,0.925919,0.982899,0.904069,0.000432,0.9539836786764226,0.019762535464863815,0.13730672337050379
2424,Kepler-1416 b,0.96495,0.933774,0.934999,0.000347,0.949234018195724,0.018012347237381363,0.13075906372131976
2425,Kepler-1417 b,0.999341,0.988827,0.99553,0.013691,0.9940700996443863,0.11674673969751789,0.34066764325992105
2426,Kepler-1418 b,0.85014,0.84426,0.872134,0.117363,0.8471948987098542,0.3199316530792163,0.5206193085398608
2428,Kepler-142 b,0.794346,0.718529,0.850693,0.000966,0.755487019765396,0.0286665212050573,0.1471638021805983
2430,Kepler-142 d,0.769997,0.669969,0.83986,0.077915,0.7182437748376244,0.25580791993212404,0.42864022914958594
2431,Kepler-1420 b,0.928513,0.975857,0.904837,0.012686,0.9518907030962116,0.10713898535080496,0.31935028431894724
2432,Kepler-1421 b,0.979296,0.961941,0.962017,0.001968,0.9705797100372541,0.0435114864834563,0.2055027151509267
2433,Kepler-1422 b,0.790976,0.715463,0.847813,0.013302,0.752272598123845,0.10619608526683082,0.28264536963173514
2434,Kepler-1423 b,0.981948,0.995746,0.979281,0.136,0.9888229331927937,0.36494138707469176,0.6007182474427121
2435,Kepler-1424 b,0.958439,0.961015,0.93619,0.03197,0.9597261357204981,0.17300287367555486,0.4074743911231499
